Column_name,Description,Translated,Rejected
acc_now_delinq,The number of accounts on which the borrower is now delinquent.,"Количество счетов, по которым заемщик сейчас просрочен.",0
acc_open_past_24mths,Number of trades opened in past 24 months.,"Количество сделок, открытых за последние 24 месяца.",0
addr_state,The state provided by the borrower in the loan application,"Штат, указанный заемщиком в кредитной заявке",0
all_util,Balance to credit limit on all trades,Баланс кредитного лимита по всем сделкам,1
annual_inc,The self-reported annual income provided by the borrower during registration.,"Годовой доход, заявленный заемщиком при регистрации.",0
annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration,"Совокупный годовой доход, заявленный созаемщиками при регистрации",0
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers,"Указывает, является ли кредит индивидуальной заявкой или совместной заявкой с двумя созаемщиками.",0
avg_cur_bal,Average current balance of all accounts,Средний текущий баланс всех счетов,1
bc_open_to_buy,Total open to buy on revolving bankcards.,Всего открыто для покупки по возобновляемым банковским картам.,0
bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,Отношение общего текущего баланса к высокому кредитному/кредитному лимиту для всех счетов банковских карт.,0
chargeoff_within_12_mths,Number of charge-offs within 12 months,Количество списаний за 12 месяцев,0
collection_recovery_fee,post charge off collection fee,сбор за последующее списание,0
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections,Количество сборов за 12 месяцев без учета медицинских сборов,0
debt_settlement_flag,"Flags whether or not the borrower, who has charged-off, is working with a debt-settlement company.","Отмечает, работает ли списанный заемщик с компанией по урегулированию долга.",1
debt_settlement_flag_date,The most recent date that the Debt_Settlement_Flag has been set  ,Самая последняя дата установки Debt_Settlement_Flag,1
deferral_term,Amount of months that the borrower is expected to pay less than the contractual monthly payment amount due to a hardship plan,"Количество месяцев, в течение которых заемщик, как ожидается, будет платить меньше, чем предусмотренная договором сумма ежемесячного платежа из-за трудного плана",1
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,Количество случаев просроченной задолженности более 30 дней в кредитном досье заемщика за последние 2 года.,0
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,"Просроченная сумма задолженности по счетам, по которым заемщик в настоящее время является просроченным.",0
desc,Loan description provided by the borrower,"Описание кредита, предоставленное заемщиком",1
disbursement_method,"The method by which the borrower receives their loan. Possible values are: CASH, DIRECT_PAY","Способ, которым заемщик получает кредит. Возможные значения: CASH, DIRECT_PAY.",1
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.","Соотношение, рассчитанное путем деления общей суммы ежемесячных платежей заемщика на общую сумму долговых обязательств, за исключением ипотечного кредита и запрошенного кредита, на ежемесячный доход заемщика, о котором сообщается самостоятельно.",1
dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income","Соотношение, рассчитанное с использованием общих ежемесячных платежей созаемщиков по общей сумме долговых обязательств, за исключением ипотечных кредитов и запрошенного аккредитивного кредита, деленное на совокупный ежемесячный доход созаемщиков, сообщаемый ими самими.",1
earliest_cr_line,The month the borrower's earliest reported credit line was opened,"Месяц, в котором заемщик открыл самую раннюю из заявленных кредитных линий",0
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. ,"Стаж работы в годах. Возможные значения находятся в диапазоне от 0 до 10, где 0 означает менее одного года, а 10 означает десять или более лет.",0
emp_title,The job title supplied by the Borrower when applying for the loan.*,"Должность, указанная Заемщиком при подаче заявки на получение кредита.*",0
fico_range_high,The upper boundary range the borrower’s FICO at loan origination belongs to.,"Верхний граничный диапазон, к которому относится FICO заемщика при выдаче кредита.",0
fico_range_low,The lower boundary range the borrower’s FICO at loan origination belongs to.,"Нижний граничный диапазон, к которому относится FICO заемщика при выдаче кредита.",0
funded_amnt,The total amount committed to that loan at that point in time.,Общая сумма обязательств по этому кредиту на тот момент времени.,1
funded_amnt_inv,The total amount committed by investors for that loan at that point in time.,"Общая сумма, выделенная инвесторами для этого кредита на данный момент времени.",1
grade,LC assigned loan grade,присвоенный аккредитиву кредитный рейтинг,1
hardship_amount,The interest payment that the borrower has committed to make each month while they are on a hardship plan,"Процентный платеж, который заемщик обязался производить каждый месяц, пока он находится в трудной жизненной ситуации.",1
hardship_dpd,Account days past due as of the hardship plan start date,"Учетные дни, просроченные на дату начала действия трудового плана",1
hardship_end_date,The end date of the hardship plan period,Дата окончания периода действия трудного плана,1
hardship_flag,Flags whether or not the borrower is on a hardship plan,"Отмечает, находится ли заемщик в трудной жизненной ситуации",1
hardship_last_payment_amount,The last payment amount as of the hardship plan start date,Сумма последнего платежа на дату начала действия трудового плана,1
hardship_length,The number of months the borrower will make smaller payments than normally obligated due to a hardship plan,"Количество месяцев, в течение которых заемщик будет производить меньшие платежи, чем обычно, из-за трудного плана.",1
hardship_loan_status,Loan Status as of the hardship plan start date,Статус кредита на дату начала действия плана помощи в трудных условиях,1
hardship_payoff_balance_amount,The payoff balance amount as of the hardship plan start date,Сумма остатка выплат на дату начала трудного плана,1
hardship_reason,Describes the reason the hardship plan was offered,"Описывает причину, по которой был предложен план преодоления трудностей",1
hardship_start_date,The start date of the hardship plan period,Дата начала периода трудного плана,1
hardship_status,"Describes if the hardship plan is active, pending, canceled, completed, or broken","Описывает, является ли план преодоления трудностей активным, ожидающим рассмотрения, отмененным, завершенным или нарушенным.",1
hardship_type,Describes the hardship plan offering,Описывает предложение плана работы в трудных условиях,1
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER","Статус собственности на жилье, предоставленный заемщиком при регистрации или полученный из кредитного отчета. Наши ценности: АРЕНДА, СОБСТВЕННОСТЬ, ИПОТЕКА, ДРУГОЕ",0
id,A unique LC assigned ID for the loan listing.,"Уникальный идентификатор, присвоенный LC для списка кредитов.",1
